Poster,PosterParty,TweetDate,TotalTweetCount
kathleen depoorter,N-VA,2024-03-26,9
Gilles Vanden Burre,Ecolo-Groen,2024-03-26,9
Pieter De Spiegeleer,VB,2024-02-27,9
Sophie Rohonyi,DéFI,2024-03-24,9
Tom Van Grieken (BACKUP PROFIEL),VB,2021-04-09,9
Michael Freilich,N-VA,2024-02-21,9
Ben Achour Malik,PS,2024-01-19,9
Theo Francken MP,N-VA,2024-02-29,9
François De Smet,DéFI,2024-03-20,9
Ben Achour Malik,PS,2024-02-21,9
Georges Dallemagne,Les Engagés,2024-02-16,9
Michael Freilich,N-VA,2024-02-05,9
Sophie Rohonyi,DéFI,2024-03-27,9
Catherine Fonck,Les Engagés,2024-04-26,9
Theo Francken MP,N-VA,2024-03-27,9
Pieter De Spiegeleer,VB,2024-04-12,9
François De Smet,DéFI,2024-01-23,8
Anja Vanrobaeys,Vooruit,2024-04-17,8
Gilles Vanden Burre,Ecolo-Groen,2024-04-19,8
Frank Troosters,VB,2024-03-08,8
Joris De Vriendt,VB,2024-04-26,8
Joris De Vriendt,VB,2024-03-13,8
Eric THIEBAUT,PS,2024-04-09,8
Theo Francken MP,N-VA,2024-01-29,8
Georges Dallemagne,Les Engagés,2024-03-22,8
Theo Francken MP,N-VA,2024-02-09,8
Theo Francken MP,N-VA,2024-04-23,8
Sophie Rohonyi,DéFI,2024-03-22,8
Pieter De Spiegeleer,VB,2024-03-05,8
Peter Mertens MP,PVDA-PTB,2024-03-15,8
Ortwin Depoortere,VB,2024-04-16,8
Peter De Roover,N-VA,2024-03-03,8
Marie Christine Marghem,MR,2024-02-17,8
Barbara Pas,VB,2024-04-17,8
Pieter De Spiegeleer,VB,2024-03-21,8
Wouter Vermeersch,VB,2024-04-23,8
Barbara Pas,VB,2024-03-28,8
Vanessa Matz,Les Engagés,2023-12-13,8
Tomas Roggeman,N-VA,2024-03-06,8
Mathieu Bihet,MR,2024-04-17,8
Joris Vandenbroucke,Vooruit,2024-03-25,8
Peter Mertens MP,PVDA-PTB,2024-03-28,8
Cécile Cornet,Ecolo-Groen,2022-06-29,8
Joris De Vriendt,VB,2024-03-15,8
Egbert Lachaert,Open Vld,2024-04-05,8
Raoul Hedebouw,PVDA-PTB,2024-02-27,8
Theo Francken MP,N-VA,2024-03-09,8
Pieter De Spiegeleer,VB,2024-04-05,8
Michael Freilich,N-VA,2024-03-13,8
Annick Ponthier,VB,2024-05-02,8
Pieter De Spiegeleer,VB,2024-03-17,8
Michael Freilich,N-VA,2024-03-20,8
Barbara Pas,VB,2024-03-19,8
Sofie Merckx,PVDA-PTB,2024-04-18,8
Raoul Hedebouw,PVDA-PTB,2024-03-19,8
Theo Francken MP,N-VA,2024-02-03,8
Theo Francken MP,N-VA,2024-03-28,8
François De Smet,DéFI,2024-03-28,8
Barbara Pas,VB,2024-04-18,8
Marco Van Hees,PVDA-PTB,2024-02-22,8
Joris De Vriendt,VB,2024-04-04,8
Tomas Roggeman,N-VA,2024-04-12,8
Pieter De Spiegeleer,VB,2024-04-16,8
Catherine Fonck,Les Engagés,2024-04-19,8
Marijke Dillen,VB,2021-03-08,8
Theo Francken MP,N-VA,2024-04-02,8
Pieter De Spiegeleer,VB,2024-03-11,8
Frank Troosters,VB,2024-03-30,8
Frieda Gijbels,N-VA,2024-03-24,8
Jef Van den Bergh ☀️,cd&v,2024-03-03,8
Eric THIEBAUT,PS,2024-04-26,8
Annick Ponthier,VB,2024-05-01,8
kathleen depoorter,N-VA,2024-01-23,8
Sander Loones,N-VA,2024-04-30,8
Peter Mertens MP,PVDA-PTB,2024-02-07,8
Sophie De Wit,N-VA,2024-03-10,8
Theo Francken MP,N-VA,2024-04-12,8
Sander Loones,N-VA,2024-02-29,8
Eric THIEBAUT,PS,2024-04-06,8
Sofie Merckx,PVDA-PTB,2024-02-29,8
Joris De Vriendt,VB,2024-02-23,8
Joris De Vriendt,VB,2024-04-20,8
Dominiek Sneppe,VB,2024-03-14,8
François De Smet,DéFI,2024-03-29,8
Ahmed Laaouej,PS,2024-03-27,8
Nabil Boukili,PVDA-PTB,2024-02-21,8
Barbara Pas,VB,2024-03-15,8
Bert Wollants,N-VA,2024-03-21,8
François De Smet,DéFI,2024-02-23,8
Joris Vandenbroucke,Vooruit,2024-02-09,8
Theo Francken MP,N-VA,2024-04-29,7
Sophie Rohonyi,DéFI,2024-04-24,7
Sophie De Wit,N-VA,2024-03-21,7
Eric THIEBAUT,PS,2024-04-16,7
Sofie Merckx,PVDA-PTB,2024-04-04,7
Pieter De Spiegeleer,VB,2024-04-01,7
Gilles Vanden Burre,Ecolo-Groen,2024-01-16,7
Raoul Hedebouw,PVDA-PTB,2024-04-03,7
Gilles Vanden Burre,Ecolo-Groen,2024-04-29,7
Joris Vandenbroucke,Vooruit,2024-04-05,7
Maggie De Block,Open Vld,2024-02-11,7
Darya Safai MP,N-VA,2024-02-16,7
Darya Safai MP,N-VA,2024-04-14,7
Sofie Merckx,PVDA-PTB,2024-04-30,7
Samuel Cogolati,Ecolo-Groen,2024-04-29,7
Joris Vandenbroucke,Vooruit,2024-03-19,7
François De Smet,DéFI,2024-03-13,7
Sophie Rohonyi,DéFI,2024-03-20,7
Tomas Roggeman,N-VA,2023-11-17,7
Barbara Pas,VB,2024-03-16,7
Ben Achour Malik,PS,2024-04-18,7
Michael Freilich,N-VA,2024-01-27,7
Tomas Roggeman,N-VA,2024-01-25,7
Barbara Pas,VB,2024-04-05,7
Christophe Lacroix,PS,2024-02-22,7
Séverine de Laveleye,Ecolo-Groen,2024-04-11,7
Peter Mertens MP,PVDA-PTB,2024-03-25,7
Christophe Lacroix,PS,2024-03-01,7
Eva Platteau,Ecolo-Groen,2024-04-18,7
Ortwin Depoortere,VB,2024-04-22,7
Ahmed Laaouej,PS,2024-03-24,7
Joris De Vriendt,VB,2024-03-19,7
Peter Mertens MP,PVDA-PTB,2024-03-20,7
Eric THIEBAUT,PS,2024-04-04,7
Peter Mertens MP,PVDA-PTB,2024-02-25,7
Frieda Gijbels,N-VA,2024-03-28,7
Patrick Prévot,PS,2024-03-15,7
Gilles Vanden Burre,Ecolo-Groen,2024-03-22,7
Sofie Merckx,PVDA-PTB,2024-04-23,7
Tomas Roggeman,N-VA,2024-01-30,7
Darya Safai MP,N-VA,2024-04-09,7
Sophie Rohonyi,DéFI,2024-03-01,7
Eva Platteau,Ecolo-Groen,2024-03-02,7
Sophie Rohonyi,DéFI,2024-02-26,7
Egbert Lachaert,Open Vld,2024-03-01,7
Frank Troosters,VB,2024-04-16,7
Ben Achour Malik,PS,2024-02-02,7
Michael Freilich,N-VA,2024-02-08,7
Maggie De Block,Open Vld,2024-03-05,7
Michael Freilich,N-VA,2024-01-26,7
Joris De Vriendt,VB,2024-03-11,7
Raoul Hedebouw,PVDA-PTB,2023-10-09,7
Theo Francken MP,N-VA,2024-03-10,7
Eva Platteau,Ecolo-Groen,2024-02-08,7
Michael Freilich,N-VA,2024-01-29,7
Pieter De Spiegeleer,VB,2024-03-14,7
Joris De Vriendt,VB,2024-04-25,7
Séverine de Laveleye,Ecolo-Groen,2024-04-17,7
Ahmed Laaouej,PS,2024-03-26,7
Raoul Hedebouw,PVDA-PTB,2024-02-20,7
Sofie Merckx,PVDA-PTB,2024-03-14,7
Annick Ponthier,VB,2024-04-25,7
Eric THIEBAUT,PS,2024-04-23,7
Ben Achour Malik,PS,2024-01-28,7
